"goods_nomenclature_sid";"goods_nomenclature_item_id";"producline_suffix";"validity_start_date";"leaf";"number_indents"
27932;"0203191100";"10";"1972-01-01 00:00:00";"0";3
27933;"0203191100";"80";"1972-01-01 00:00:00";"1";4
27934;"0203191300";"80";"1972-01-01 00:00:00";"1";4
27935;"0203191500";"80";"1972-01-01 00:00:00";"1";4
27938;"0203195500";"10";"1972-01-01 00:00:00";"0";4
27939;"0203195500";"80";"1972-01-01 00:00:00";"0";5
27940;"0203195510";"80";"1992-03-01 00:00:00";"1";6
85024;"0203195515";"10";"2006-07-01 00:00:00";"0";6
85025;"0203195515";"80";"2006-07-01 00:00:00";"1";7
85026;"0203195525";"80";"2006-07-01 00:00:00";"1";7
59043;"0203195530";"80";"1995-07-01 00:00:00";"1";6
27941;"0203195590";"80";"1992-03-01 00:00:00";"1";6
27942;"0203195900";"80";"1972-01-01 00:00:00";"1";5
27943;"0203199000";"80";"1972-01-01 00:00:00";"1";3
27944;"0203210000";"10";"1972-01-01 00:00:00";"0";1
27945;"0203210000";"80";"1972-01-01 00:00:00";"0";2
27946;"0203211000";"80";"1972-01-01 00:00:00";"1";3
27947;"0203219000";"80";"1972-01-01 00:00:00";"1";3
27948;"0203220000";"80";"1972-01-01 00:00:00";"0";2
27949;"0203221100";"10";"1972-01-01 00:00:00";"0";3
27950;"0203221100";"80";"1972-01-01 00:00:00";"1";4
27951;"0203221900";"80";"1972-01-01 00:00:00";"1";4
27952;"0203229000";"80";"1972-01-01 00:00:00";"1";3
27953;"0203290000";"80";"1972-01-01 00:00:00";"0";2
27954;"0203291100";"10";"1972-01-01 00:00:00";"0";3
27955;"0203291100";"80";"1972-01-01 00:00:00";"1";4
27956;"0203291300";"80";"1972-01-01 00:00:00";"1";4
27957;"0203291500";"80";"1972-01-01 00:00:00";"1";4
27960;"0203295500";"10";"1972-01-01 00:00:00";"0";4
27961;"0203295500";"80";"1972-01-01 00:00:00";"0";5
85034;"0203295520";"10";"2006-07-01 00:00:00";"0";6
85035;"0203295520";"80";"2006-07-01 00:00:00";"1";7
85036;"0203295530";"80";"2006-07-01 00:00:00";"1";7
27964;"0203295591";"10";"1992-03-01 00:00:00";"0";6
27965;"0203295591";"80";"1992-03-01 00:00:00";"1";7
59044;"0203295592";"80";"1995-07-01 00:00:00";"1";7
27966;"0203295599";"80";"1992-03-01 00:00:00";"1";7
27967;"0203295900";"80";"1972-01-01 00:00:00";"1";5
27968;"0203299000";"80";"1972-01-01 00:00:00";"1";3
27969;"0204000000";"80";"1972-01-01 00:00:00";"0";0
27970;"0204100000";"80";"1972-01-01 00:00:00";"0";1
27971;"0204100010";"80";"1972-01-01 00:00:00";"1";2
27972;"0204100090";"80";"1972-01-01 00:00:00";"1";2
27973;"0204210000";"10";"1972-01-01 00:00:00";"0";1
27974;"0204210000";"80";"1972-01-01 00:00:00";"0";2
27975;"0204210010";"80";"1972-01-01 00:00:00";"1";3
27976;"0204210090";"80";"1972-01-01 00:00:00";"1";3
27977;"0204220000";"80";"1972-01-01 00:00:00";"0";2
27978;"0204221000";"80";"1972-01-01 00:00:00";"0";3
27979;"0204221010";"80";"1972-01-01 00:00:00";"1";4
27980;"0204221090";"80";"1972-01-01 00:00:00";"1";4
27981;"0204223000";"80";"1972-01-01 00:00:00";"0";3
27982;"0204223010";"80";"1972-01-01 00:00:00";"1";4
27983;"0204223090";"80";"1972-01-01 00:00:00";"1";4
27984;"0204225000";"80";"1972-01-01 00:00:00";"0";3
27985;"0204225010";"80";"1972-01-01 00:00:00";"1";4
27986;"0204225090";"80";"1972-01-01 00:00:00";"1";4
27987;"0204229000";"80";"1972-01-01 00:00:00";"0";3
27988;"0204229010";"80";"1972-01-01 00:00:00";"1";4
27989;"0204229090";"80";"1972-01-01 00:00:00";"1";4
27990;"0204230000";"80";"1972-01-01 00:00:00";"0";2
79494;"0204230011";"10";"2004-01-01 00:00:00";"0";3
79495;"0204230011";"80";"2004-01-01 00:00:00";"1";4
79496;"0204230019";"80";"2004-01-01 00:00:00";"1";4
79499;"0204230091";"10";"2004-01-01 00:00:00";"0";3
79497;"0204230091";"80";"2004-01-01 00:00:00";"1";4
79498;"0204230099";"80";"2004-01-01 00:00:00";"1";4
27993;"0204300000";"80";"1972-01-01 00:00:00";"0";1
27994;"0204300010";"80";"1972-01-01 00:00:00";"1";2
27995;"0204300090";"80";"1972-01-01 00:00:00";"1";2
27996;"0204410000";"10";"1972-01-01 00:00:00";"0";1
27997;"0204410000";"80";"1972-01-01 00:00:00";"0";2
27998;"0204410010";"80";"1972-01-01 00:00:00";"1";3
27999;"0204410090";"80";"1972-01-01 00:00:00";"1";3
28000;"0204420000";"80";"1972-01-01 00:00:00";"0";2
28001;"0204421000";"80";"1972-01-01 00:00:00";"0";3
28002;"0204421010";"80";"1972-01-01 00:00:00";"1";4
28003;"0204421090";"80";"1972-01-01 00:00:00";"1";4
28004;"0204423000";"80";"1972-01-01 00:00:00";"0";3
28005;"0204423010";"80";"1972-01-01 00:00:00";"1";4
28006;"0204423090";"80";"1972-01-01 00:00:00";"1";4
28007;"0204425000";"80";"1972-01-01 00:00:00";"0";3
28008;"0204425010";"80";"1972-01-01 00:00:00";"1";4
28009;"0204425090";"80";"1972-01-01 00:00:00";"1";4
28010;"0204429000";"80";"1972-01-01 00:00:00";"0";3
28011;"0204429010";"80";"1972-01-01 00:00:00";"1";4
28012;"0204429090";"80";"1972-01-01 00:00:00";"1";4
28013;"0204430000";"80";"1972-01-01 00:00:00";"0";2
28016;"0204431000";"80";"1993-01-01 00:00:00";"0";3
28017;"0204431010";"80";"1993-01-01 00:00:00";"1";4
28018;"0204431090";"80";"1993-01-01 00:00:00";"1";4
28019;"0204439000";"80";"1993-01-01 00:00:00";"0";3
28020;"0204439010";"80";"1993-01-01 00:00:00";"1";4
28021;"0204439090";"80";"1993-01-01 00:00:00";"1";4
28022;"0204500000";"80";"1972-01-01 00:00:00";"0";1
28023;"0204501100";"10";"1972-01-01 00:00:00";"0";2
28024;"0204501100";"80";"1972-01-01 00:00:00";"1";3
28025;"0204501300";"80";"1972-01-01 00:00:00";"1";3
28026;"0204501500";"80";"1972-01-01 00:00:00";"1";3
28027;"0204501900";"80";"1972-01-01 00:00:00";"1";3
28028;"0204503100";"10";"1972-01-01 00:00:00";"0";3
28029;"0204503100";"80";"1972-01-01 00:00:00";"1";4
28030;"0204503900";"80";"1972-01-01 00:00:00";"0";4
79502;"0204503910";"80";"2004-01-01 00:00:00";"1";5
