Commodity,Suffix,Start,End,Description,Indents
43785,6305390091,80,1972-01-01 00:00:00,,Knitted or crocheted
43786,6305390099,80,1972-01-01 00:00:00,,Other
43789,6305900010,80,1989-01-01 00:00:00,,"Sacks and bags, of a kind used for the packing of goods, used, of flax or of sisal"
43793,6305900020,80,1990-01-01 00:00:00,,Other
43801,6305900099,80,1972-01-01 00:00:00,,Other
43805,6306120000,80,1972-01-01 00:00:00,,Of synthetic fibres
43806,6306190000,80,1972-01-01 00:00:00,,Of other textile materials
43809,6306220000,80,1972-01-01 00:00:00,,Of synthetic fibres
43810,6306290000,80,1972-01-01 00:00:00,,Of other textile materials
43822,6307101000,80,1972-01-01 00:00:00,,Knitted or crocheted
43823,6307103000,80,1972-01-01 00:00:00,,Nonwovens
43825,6307109010,80,1972-01-01 00:00:00,,Hand-made
43826,6307109090,80,1972-01-01 00:00:00,,Other
43827,6307200000,80,1972-01-01 00:00:00,,Life jackets and lifebelts
43829,6307901000,80,1972-01-01 00:00:00,,Knitted or crocheted
43831,6307909100,80,1972-01-01 00:00:00,,Of felt
43843,6308000020,80,1989-01-01 00:00:00,,Of synthetic fibres (staple or waste)
43844,6308000090,80,1972-01-01 00:00:00,,Other
43846,6309000000,80,1972-01-01 00:00:00,,Worn clothing and other worn articles
43848,6310100000,80,1972-01-01 00:00:00,,Sorted
43852,6310900000,80,1972-01-01 00:00:00,,Other
43855,6401100000,80,1972-01-01 00:00:00,,Footwear incorporating a protective metal toecap
43863,6401921000,80,1972-01-01 00:00:00,,With uppers of rubber
43864,6401929000,80,1972-01-01 00:00:00,,With uppers of plastics
43871,6402190000,80,1972-01-01 00:00:00,,Other
43874,6402200000,80,1972-01-01 00:00:00,,Footwear with upper straps or thongs assembled to the sole by means of plugs
43883,6402991000,80,1972-01-01 00:00:00,,With uppers of rubber
43888,6402993100,80,1972-01-01 00:00:00,,With sole and heel combined having a height of more than 3|cm
43891,6402993900,80,1972-01-01 00:00:00,,Other
43894,6402995000,80,1972-01-01 00:00:00,,Slippers and other indoor footwear
43898,6402999100,80,1972-01-01 00:00:00,,Of less than 24|cm
43902,6402999300,80,1990-01-01 00:00:00,,Footwear which cannot be identified as men's or women's footwear
43908,6402999600,80,1990-01-01 00:00:00,,For men
43911,6402999800,80,1990-01-01 00:00:00,,For women
43918,6403190000,80,1972-01-01 00:00:00,,Other
43921,6403200000,80,1972-01-01 00:00:00,,"Footwear with outer soles of leather, and uppers which consist of leather straps across the instep and around the big toe"
43925,6403400000,80,1972-01-01 00:00:00,,"Other footwear, incorporating a protective metal toecap"
43929,6403511100,80,1972-01-01 00:00:00,,Of less than 24|cm
43931,6403511500,80,1972-01-01 00:00:00,,For men
43932,6403511900,80,1972-01-01 00:00:00,,For women
43934,6403519100,80,1972-01-01 00:00:00,,Of less than 24|cm
43936,6403519500,80,1972-01-01 00:00:00,,For men
43937,6403519900,80,1972-01-01 00:00:00,,For women
43940,6403591100,80,1972-01-01 00:00:00,,With sole and heel combined having a height of more than 3|cm
43942,6403593100,80,1972-01-01 00:00:00,,Of less than 24|cm
43944,6403593500,80,1972-01-01 00:00:00,,For men
43945,6403593900,80,1972-01-01 00:00:00,,For women
43946,6403595000,80,1972-01-01 00:00:00,,Slippers and other indoor footwear
43948,6403599100,80,1972-01-01 00:00:00,,Of less than 24|cm
43950,6403599500,80,1972-01-01 00:00:00,,For men
43951,6403599900,80,1972-01-01 00:00:00,,For women
43955,6403911100,80,1972-01-01 00:00:00,,Of less than 24|cm
43959,6403911300,80,1990-01-01 00:00:00,,Footwear which cannot be identified as men's or women's footwear
43965,6403911600,80,1990-01-01 00:00:00,,For men
43968,6403911800,80,1990-01-01 00:00:00,,For women
43973,6403919100,80,1972-01-01 00:00:00,,Of less than 24|cm
43977,6403919300,80,1990-01-01 00:00:00,,Footwear which cannot be identified as men's or women's footwear
43983,6403919600,80,1990-01-01 00:00:00,,For men
43986,6403919800,80,1990-01-01 00:00:00,,For women
43992,6403991100,80,1972-01-01 00:00:00,,With sole and heel combined having a height of more than 3|cm
43996,6403993100,80,1972-01-01 00:00:00,,Of less than 24|cm
44000,6403993300,80,1990-01-01 00:00:00,,Footwear which cannot be identified as men's or women's footwear
44006,6403993600,80,1990-01-01 00:00:00,,For men
44009,6403993800,80,1990-01-01 00:00:00,,For women
44013,6403995000,80,1972-01-01 00:00:00,,Slippers and other indoor footwear
44017,6403999100,80,1972-01-01 00:00:00,,Of less than 24|cm
44021,6403999300,80,1990-01-01 00:00:00,,Footwear which cannot be identified as men's or women's footwear
44027,6403999600,80,1990-01-01 00:00:00,,For men
44030,6403999800,80,1990-01-01 00:00:00,,For women
44036,6404110000,80,1972-01-01 00:00:00,,"Sports footwear; tennis shoes, basketball shoes, gym shoes, training shoes and the like"
44040,6404191000,80,1972-01-01 00:00:00,,Slippers and other indoor footwear
44041,6404199000,80,1972-01-01 00:00:00,,Other
44045,6404201000,80,1972-01-01 00:00:00,,Slippers and other indoor footwear
44046,6404209000,80,1972-01-01 00:00:00,,Other
44048,6405100000,80,1972-01-01 00:00:00,,With uppers of leather or composition leather
44052,6405201000,80,1972-01-01 00:00:00,,With outer soles of wood or cork
44054,6405209100,80,1972-01-01 00:00:00,,Slippers and other indoor footwear
44055,6405209900,80,1972-01-01 00:00:00,,Other
44059,6405901000,80,1972-01-01 00:00:00,,"With outer soles of rubber, plastics, leather or composition leather"
44060,6405909000,80,1972-01-01 00:00:00,,With outer soles of other materials
44071,6406109010,80,1972-01-01 00:00:00,,Hand-made
44072,6406109090,80,1972-01-01 00:00:00,,Other
44075,6406201010,80,1972-01-01 00:00:00,,Hand-made
44076,6406201090,80,1972-01-01 00:00:00,,Other
44078,6406209010,80,1972-01-01 00:00:00,,Hand-made
44079,6406209090,80,1972-01-01 00:00:00,,Other
44102,6501000000,80,1972-01-01 00:00:00,,"Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt"
44103,6502000000,80,1972-01-01 00:00:00,,"Hat-shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, nor lined, nor trimmed"
44107,6504000000,80,1972-01-01 00:00:00,,"Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed"
44122,6506101000,80,1972-01-01 00:00:00,,Of plastics
44126,6506910000,80,1972-01-01 00:00:00,,Of rubber or of plastics
44131,6507000000,80,1972-01-01 00:00:00,,"Headbands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear"
44134,6601100000,80,1972-01-01 00:00:00,,Garden or similar umbrellas
44136,6601910000,80,1972-01-01 00:00:00,,Having a telescopic shaft
44142,6601999000,80,1972-01-01 00:00:00,,Other
44144,6602000010,80,1972-01-01 00:00:00,,Hand-made
44145,6602000090,80,1972-01-01 00:00:00,,Other
44148,6603200000,80,1972-01-01 00:00:00,,"Umbrella frames, including frames mounted on shafts (sticks)"
44151,6701000000,80,1972-01-01 00:00:00,,"Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading|0505|and worked quills and scapes)"
44153,6702100000,80,1972-01-01 00:00:00,,Of plastics
44154,6702900000,80,1972-01-01 00:00:00,,Of other materials
