Measure SID,Order number,Measure type,Start date,End date,Geo,Commodity,additional_code_type_id,additional_code_id,reduction_indicator,measure_generating_regulation_role,measure_generating_regulation_id,justification_regulation_role,justification_regulation_id,stopped_flag,geographical_area_sid,goods_nomenclature_sid,additional_code_sid,export_refund_nomenclature_sid
3211366,094504,143,2012-01-01 00:00:00,,BA,0102295921,,,,4,R1012554,,,False,431,94092,,
3211368,094199,143,2012-01-01 00:00:00,,ME,0102295921,,,,4,R1012553,,,False,348,94092,,
3211369,094505,143,2012-01-01 00:00:00,,MK,0102295921,,,,4,R1012552,,,False,180,94092,,
3211370,094198,143,2012-01-01 00:00:00,,XS,0102295921,,,,4,R1012555,,,False,346,94092,,
3211373,094504,143,2012-01-01 00:00:00,,BA,0102295931,,,,4,R1012554,,,False,431,94095,,
3211375,094199,143,2012-01-01 00:00:00,,ME,0102295931,,,,4,R1012553,,,False,348,94095,,
3211376,094505,143,2012-01-01 00:00:00,,MK,0102295931,,,,4,R1012552,,,False,180,94095,,
3211377,094198,143,2012-01-01 00:00:00,,XS,0102295931,,,,4,R1012555,,,False,346,94095,,
3211378,094504,143,2012-01-01 00:00:00,,BA,0102295991,,,,4,R1012554,,,False,431,94098,,
3211380,094199,143,2012-01-01 00:00:00,,ME,0102295991,,,,4,R1012553,,,False,348,94098,,
3211381,094505,143,2012-01-01 00:00:00,,MK,0102295991,,,,4,R1012552,,,False,180,94098,,
3211382,094198,143,2012-01-01 00:00:00,,XS,0102295991,,,,4,R1012555,,,False,346,94098,,
3212004,094091,143,2012-01-01 00:00:00,,IL,0207428000,,,,4,R0911530,,,False,334,94204,,
3212006,094091,143,2012-01-01 00:00:00,,IL,0207521000,,,,4,R0911530,,,False,334,94242,,
3212009,094091,143,2012-01-01 00:00:00,,IL,0207529000,,,,4,R0911530,,,False,334,94243,,
3212016,094091,143,2012-01-01 00:00:00,,IL,0207423000,,,,4,R0911530,,,False,334,94203,,
3212071,094091,143,2012-01-01 00:00:00,,IL,0207541000,,,,4,R0911530,,,False,334,94247,,
3212075,094091,143,2012-01-01 00:00:00,,IL,0207441000,,,,4,R0911530,,,False,334,94208,,
3212077,094091,143,2012-01-01 00:00:00,,IL,0207442100,,,,4,R0911530,,,False,334,94210,,
3212080,094091,143,2012-01-01 00:00:00,,IL,0207542100,,,,4,R0911530,,,False,334,94249,,
3212085,094091,143,2012-01-01 00:00:00,,IL,0207543100,,,,4,R0911530,,,False,334,94250,,
3212086,094091,143,2012-01-01 00:00:00,,IL,0207443100,,,,4,R0911530,,,False,334,94211,,
3212094,094091,143,2012-01-01 00:00:00,,IL,0207544100,,,,4,R0911530,,,False,334,94251,,
3212095,094091,143,2012-01-01 00:00:00,,IL,0207444100,,,,4,R0911530,,,False,334,94212,,
3212100,094091,143,2012-01-01 00:00:00,,IL,0207545100,,,,4,R0911530,,,False,334,94252,,
3212101,094091,143,2012-01-01 00:00:00,,IL,0207445100,,,,4,R0911530,,,False,334,94214,,
3212106,094091,143,2012-01-01 00:00:00,,IL,0207546100,,,,4,R0911530,,,False,334,94253,,
3212107,094091,143,2012-01-01 00:00:00,,IL,0207446100,,,,4,R0911530,,,False,334,94215,,
3212112,094091,143,2012-01-01 00:00:00,,IL,0207447100,,,,4,R0911530,,,False,334,94216,,
3212113,094091,143,2012-01-01 00:00:00,,IL,0207547100,,,,4,R0911530,,,False,334,94254,,
3212117,094091,143,2012-01-01 00:00:00,,IL,0207448100,,,,4,R0911530,,,False,334,94217,,
3212118,094091,143,2012-01-01 00:00:00,,IL,0207548100,,,,4,R0911530,,,False,334,94255,,
3212145,094091,143,2012-01-01 00:00:00,,IL,0207449100,,,,4,R0911530,,,False,334,94219,,
3212146,094091,143,2012-01-01 00:00:00,,IL,0207549100,,,,4,R0911530,,,False,334,94257,,
3212153,094091,143,2012-01-01 00:00:00,,IL,0207449900,,,,4,R0911530,,,False,334,94220,,
3212154,094091,143,2012-01-01 00:00:00,,IL,0207549900,,,,4,R0911530,,,False,334,94258,,
3212184,094091,143,2012-01-01 00:00:00,,IL,0207551000,,,,4,R0911530,,,False,334,94261,,
3212185,094091,143,2012-01-01 00:00:00,,IL,0207451000,,,,4,R0911530,,,False,334,94223,,
3212212,094091,143,2012-01-01 00:00:00,,IL,0207452100,,,,4,R0911530,,,False,334,94225,,
3212222,094091,143,2012-01-01 00:00:00,,IL,0207552100,,,,4,R0911530,,,False,334,94263,,
3212285,094091,143,2012-01-01 00:00:00,,IL,0207553100,,,,4,R0911530,,,False,334,94264,,
3212286,094091,143,2012-01-01 00:00:00,,IL,0207453100,,,,4,R0911530,,,False,334,94226,,
3212294,094091,143,2012-01-01 00:00:00,,IL,0207554100,,,,4,R0911530,,,False,334,94265,,
3212295,094091,143,2012-01-01 00:00:00,,IL,0207454100,,,,4,R0911530,,,False,334,94227,,
3212305,094091,143,2012-01-01 00:00:00,,IL,0207555100,,,,4,R0911530,,,False,334,94266,,
3212315,094091,143,2012-01-01 00:00:00,,IL,0207455100,,,,4,R0911530,,,False,334,94228,,
3212325,094091,143,2012-01-01 00:00:00,,IL,0207556100,,,,4,R0911530,,,False,334,94267,,
3212353,094091,143,2012-01-01 00:00:00,,IL,0207457100,,,,4,R0911530,,,False,334,94231,,
3212364,094091,143,2012-01-01 00:00:00,,IL,0207557100,,,,4,R0911530,,,False,334,94268,,
