UNB+XXIB:1+CEC/XXI/B5+               GB+16092018:2000+TARIC'
UNH+TGBGB18116+8116'
001605172643000+00000161103639823490   10110702000000           200620181R1708920200620181R170892000000040000030256                '
001605194443000+00001948303641095552   10118541409051B854       010720184R17157000000000000000000000000040000103311   12303        '
001605194543000+00001959303641127552   10118541409051B857       010720184R17157000000000000000000000000040000103311   12306        '
001605194643000+00001970303641159552   10118541409051B858       010720184R17157000000000000000000000000040000103311   12307        '
001605194743000+00001981303641191552   10118541409051B861       010720184R17157000000000000000000000000040000103311   12358        '
001605194843000+00001992303641223552   10118541409051B862       010720184R17157000000000000000000000000040000103311   12359        '
001605194943000+00002003303641255552   10118541409051B863       010720184R17157000000000000000000000000040000103311   12360        '
001605195043000+00002014303641287552   10118541409051B864       010720184R17157000000000000000000000000040000103311   12361        '
001605195143000+00002025303641319552   10118541409051B865       010720184R17157000000000000000000000000040000103311   12362        '
001605195243000+00002036303641351552   10118541409051B866       010720184R17157000000000000000000000000040000103311   12363        '
001605195343000+00002047303641383552   10118541409051B868       010720184R17157000000000000000000000000040000103311   12365        '
001605195443000+00002058303641415552   10118541409051B870       010720184R17157000000000000000000000000040000103311   12367        '
001605195543000+00002069303641447552   10118541409051B871       010720184R17157000000000000000000000000040000103311   12368        '
001605195643000+00002080303641479552   10118541409051B872       010720184R17157000000000000000000000000040000103311   12369        '
001605195743000+00002091303641511552   10118541409051B873       010720184R17157000000000000000000000000040000103311   12370        '
001605195843000+00002102303642759552   10118541409051B874       010720184R17157000000000000000000000000040000103311   12371        '
001605195943000+00002113303641543552   10118541409051B875       010720184R17157000000000000000000000000040000103311   12372        '
001605196043000+00002124303641575552   10118541409051B876       010720184R17157000000000000000000000000040000103311   12373        '
001605196143000+00002135303642503552   10118541409051B877       010720184R17157000000000000000000000000040000103311   12374        '
001605196243000+00002146303641607552   10118541409051B878       010720184R17157000000000000000000000000040000103311   12375        '
001605196343000+00002157303642791552   10118541409051B879       010720184R17157000000000000000000000000040000103311   12308        '
001605196443000+00002168303641639552   10118541409051B881       010720184R17157000000000000000000000000040000103311   12310        '
001605196543000+00002179303641671552   10118541409051B882       010720184R17157000000000000000000000000040000103311   12311        '
001605196643000+00002190303642823552   10118541409051B883       010720184R17157000000000000000000000000040000103311   12312        '
001605196743000+00002201303641703552   10118541409051B884       010720184R17157000000000000000000000000040000103311   12313        '
001605196843000+00002212303641735552   10118541409051B885       010720184R17157000000000000000000000000040000103311   12425        '
001605196943000+00002223303641767552   10118541409051B886       010720184R17157000000000000000000000000040000103311   12315        '
001605197043000+00002234303641799552   10118541409051B889       010720184R17157000000000000000000000000040000103311   12318        '
001605197143000+00002245303642873552   10118541409051B891       010720184R17157000000000000000000000000040000103311   12320        '
001605197243000+00002256303641831552   10118541409051B892       010720184R17157000000000000000000000000040000103311   12321        '
001605197343000+00002267303641863552   10118541409051B893       010720184R17157000000000000000000000000040000103311   12322        '
001605197443000+00002278303641895552   10118541409051B896       010720184R17157000000000000000000000000040000103311   12326        '
001605197543000+00002289303641927552   10118541409051B897       010720184R17157000000000000000000000000040000103311   12327        '
001605197643000+00002300303641959552   10118541409051B898       010720184R17157000000000000000000000000040000103311   12328        '
001605197743000+00002311303641991552   10118541409051B900       010720184R17157000000000000000000000000040000103311   12385        '
001605197843000+00002322303642023552   10118541409051B902       010720184R17157000000000000000000000000040000103311   12331        '
001605197943000+00002333303642905552   10118541409051B903       010720184R17157000000000000000000000000040000103311   12332        '
001605198043000+00002344303642055552   10118541409051B904       010720184R17157000000000000000000000000040000103311   12333        '
001605198143000+00002355303642087552   10118541409051B905       010720184R17157000000000000000000000000040000103311   12334        '
001605198243000+00002366303642119552   10118541409051B906       010720184R17157000000000000000000000000040000103311   12335        '
001605198343000+00002377303642151552   10118541409051B907       010720184R17157000000000000000000000000040000103311   12336        '
001605198443000+00002388303642183552   10118541409051B908       010720184R17157000000000000000000000000040000103311   12337        '
001605198543000+00002399303642215552   10118541409051B910       010720184R17157000000000000000000000000040000103311   12426        '
001605198643000+00002410303642247552   10118541409051B911       010720184R17157000000000000000000000000040000103311   12340        '
001605198743000+00002421303642279552   10118541409051B912       010720184R17157000000000000000000000000040000103311   12341        '
001605198843000+00002432303642311552   10118541409051B914       010720184R17157000000000000000000000000040000103311   12343        '
001605198943000+00002443303642937552   10118541409051B915       010720184R17157000000000000000000000000040000103311   12344        '
001605199043000+00002454303642343552   10118541409051B916       010720184R17157000000000000000000000000040000103311   12345        '
001605199143000+00002465303642375552   10118541409051B917       010720184R17157000000000000000000000000040000103311   12346        '
001605199243000+00002476303642407552   10118541409051B918       010720184R17157000000000000000000000000040000103311   12427        '
001605199343000+00002487303642439552   10118541409051B920       010720184R17157000000000000000000000000040000103311   12349        '
001605199443000+00002498303642471552   10118541409051B922       010720184R17157000000000000000000000000040000103311   12351        '
001605199543000+00002509303639685552   10118541409061B791       010720184R17157000000000000000000000000040000103319   12420        '
001605199643000+00002520303639701552   10118541409061B792       010720184R17157000000000000000000000000040000103319   12376        '
001605199743000+00002531303639713552   10118541409061B793       010720184R17157000000000000000000000000040000103319   12378        '
001605199843000+00002542303639733552   10118541409061B794       010720184R17157000000000000000000000000040000103319   12379        '
001605199943000+00002553303639765552   10118541409061B796       010720184R17157000000000000000000000000040000103319   12381        '
001605200043000+00002564303639781552   10118541409061B797       010720184R17157000000000000000000000000040000103319   12382        '
001605200143000+00002575303639819552   10118541409061B798       010720184R17157000000000000000000000000040000103319   12246        '
001605200243000+00002586303642536552   10118541409061B800       010720184R17157000000000000000000000000040000103319   12248        '
001605200343000+00002597303639803552   10118541409061B801       010720184R17157000000000000000000000000040000103319   12249        '
001605200443000+00002608303639976552   10118541409061B802       010720184R17157000000000000000000000000040000103319   12250        '
001605200543000+00002619303642568552   10118541409061B803       010720184R17157000000000000000000000000040000103319   12251        '
001605200643000+00002630303642600552   10118541409061B804       010720184R17157000000000000000000000000040000103319   12252        '
