measure_sid,goods_nomenclature_item_id,duty_expression_id,duty_amount,monetary_unit_code,measurement_unit_code,measurement_unit_qualifier_code
5140199,0210929100,01,130,EUR,DTN,
5140200,0210929200,01,2,,,
5140201,0210929900,01,15.4,,,
5140201,0210929900,04,303.4,EUR,DTN,
5140202,0210930000,01,0,,,
5140205,0210991000,01,0,,,
5140207,0210992100,01,222.7,EUR,DTN,
5140208,0210992900,01,311.8,EUR,DTN,
5140209,0210993100,01,0,,,
5140211,0210993910,01,78.4,EUR,DTN,
5140212,0210993990,01,78.4,EUR,DTN,
5140215,0210994100,01,0,,,
5140216,0210994900,01,0,,,
5140219,0210995110,01,8.1,,,
5140219,0210995110,04,160.1,EUR,DTN,
5140220,0210995190,01,8.1,,,
5140220,0210995190,04,160.1,EUR,DTN,
5140222,0210995910,01,6.8,,,
5140223,0210995990,01,6.8,,,
5140226,0210997100,01,0,,,
5140227,0210997900,01,0,,,
5140229,0210998510,01,0,,,
5140230,0210998590,01,0,,,
5140232,0210999010,01,0,,,
5140233,0210999090,01,0,,,
5140237,0301110000,01,0,,,
5140238,0301190000,01,0,,,
5140241,0301911000,01,0,,,
5140244,0301919011,01,12,,,
5140245,0301919019,01,12,,,
5140246,0301919090,01,12,,,
5140248,0301921000,01,0,,,
5140249,0301923000,01,0,,,
5140250,0301929000,01,0,,,
5140251,0301930000,01,0,,,
5140253,0301941000,01,0,,,
5140254,0301949000,01,0,,,
5140255,0301950000,01,0,,,
5140259,0301991140,01,0,,,
5140260,0301991180,01,0,,,
5140261,0301991700,01,0,,,
5140263,0301998510,01,0,,,
5140264,0301998522,01,0,,,
5140265,0301998530,01,0,,,
5140266,0301998540,01,0,,,
5140267,0301998550,01,0,,,
5140268,0301998560,01,0,,,
5140269,0301998570,01,0,,,
5140270,0301998575,01,0,,,
5140271,0301998580,01,0,,,
5140272,0301998590,01,0,,,
5140276,0302111000,01,0,,,
5140277,0302112000,01,0,,,
5140280,0302118011,01,12,,,
5140281,0302118019,01,12,,,
5140282,0302118090,01,12,,,
5140283,0302130000,01,0,,,
5140285,0302140010,01,0,,,
5140286,0302140090,01,0,,,
